#: table_doi: 10.17182/hepdata.52962.v1/t3
#: name: Table 3
#: description: The DVCS cross section as a function of W in four Q**2 regions.

#: data_file: Table3.yaml
#: keyword reactions: E+ P --> E+ GAMMA P | GAMMA* P --> GAMMA P
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction | Electron production
#: RE,,,GAMMA* P --> GAMMA P
#: Q**2 [GeV^2],,,2.4
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','SIG [NB]','stat +','stat -','sys +','sys -'
52.5,40.0,65.0,27.06,3.44,-3.44,4.37,-4.42
77.5,65.0,90.0,22.36,3.11,-3.11,3.4,-1.73
102.5,90.0,115.0,26.49,1.89,-1.89,0.89,-1.44
127.5,115.0,140.0,35.94,2.63,-2.63,1.81,-1.89
155.0,140.0,170.0,35.72,9.47,-9.47,3.01,-2.94

#: RE,,,GAMMA* P --> GAMMA P
#: Q**2 [GeV^2],,,6.2
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','SIG [NB]','stat +','stat -','sys +','sys -'
52.5,40.0,65.0,'-',0,0,0,0
77.5,65.0,90.0,'-',0,0,0,0
102.5,90.0,115.0,'-',0,0,0,0
127.5,115.0,140.0,'-',0,0,0,0
155.0,140.0,170.0,16.93,2.43,-2.43,1.37,-1.4

#: RE,,,GAMMA* P --> GAMMA P
#: Q**2 [GeV^2],,,9.9
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','SIG [NB]','stat +','stat -','sys +','sys -'
52.5,40.0,65.0,'-',0,0,0,0
77.5,65.0,90.0,'-',0,0,0,0
102.5,90.0,115.0,'-',0,0,0,0
127.5,115.0,140.0,'-',0,0,0,0
155.0,140.0,170.0,6.15,1.67,-1.67,0.51,-0.51

#: RE,,,GAMMA* P --> GAMMA P
#: Q**2 [GeV^2],,,18.0
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','SIG [NB]','stat +','stat -','sys +','sys -'
52.5,40.0,65.0,'-',0,0,0,0
77.5,65.0,90.0,'-',0,0,0,0
102.5,90.0,115.0,'-',0,0,0,0
127.5,115.0,140.0,'-',0,0,0,0
155.0,140.0,170.0,2.21,0.82,-0.82,0.18,-0.18

