#: table_doi: 10.17182/hepdata.46134.v1/t11
#: name: Table 11
#: description: Differential photoproduction cross section for the elastic process GAMMA P --> J/PSI P as a function of W in bins of ABS(T).

#: data_file: Table11.yaml
#: keyword reactions: E- P --> E- J/PSI P | E+ P --> E+ J/PSI P | GAMMA P --> J/PSI P
#: keyword observables: DSIG/DT
#: keyword phrases: Exclusive | J/Psi | Single Differential Cross Section | Photoproduction | Electron production
#: keyword cmenergies: 45.0-251.0
#: ABS(T) [GEV**2],0 TO 0.07
#: RE,GAMMA P --> J/PSI P
#: Q**2 [GEV**2],0.05 (BIN=0 TO 1)
#: SQRT(S) [GeV],45.0-251.0
'W [GEV]','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
45.0,182.0,20.0,-20.0,16.0,-16.0
55.0,208.0,20.0,-20.0,18.0,-18.0
65.0,225.0,23.0,-23.0,20.0,-20.0
75.0,321.0,31.0,-31.0,28.0,-28.0
85.0,292.0,29.0,-29.0,26.0,-26.0
95.0,326.0,32.0,-32.0,29.0,-29.0
105.0,392.0,37.0,-37.0,34.0,-34.0
119.0,376.0,31.0,-31.0,33.0,-33.0
144.0,458.0,42.0,-42.0,40.0,-40.0
181.0,537.0,28.0,-28.0,68.0,-68.0
251.0,744.0,48.0,-48.0,88.0,-88.0

#: ABS(T) [GEV**2],0.01 TO 0.14
#: RE,GAMMA P --> J/PSI P
#: Q**2 [GEV**2],0.05 (BIN=0 TO 1)
#: SQRT(S) [GeV],45.0-251.0
'W [GEV]','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
45.0,115.0,15.0,-15.0,10.0,-10.0
55.0,118.0,14.0,-14.0,10.0,-10.0
65.0,169.0,18.0,-18.0,15.0,-15.0
75.0,151.0,19.0,-19.0,13.0,-13.0
85.0,178.0,20.0,-20.0,16.0,-16.0
95.0,224.0,24.0,-24.0,20.0,-20.0
105.0,224.0,26.0,-26.0,20.0,-20.0
119.0,265.0,24.0,-24.0,23.0,-23.0
144.0,267.0,29.0,-29.0,23.0,-23.0
181.0,427.0,18.0,-18.0,46.0,-46.0
251.0,573.0,28.0,-28.0,75.0,-75.0

#: ABS(T) [GEV**2],0.14 TO 0.30
#: RE,GAMMA P --> J/PSI P
#: Q**2 [GEV**2],0.05 (BIN=0 TO 1)
#: SQRT(S) [GeV],45.0-251.0
'W [GEV]','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
45.0,64.9,6.7,-6.7,5.7,-5.7
55.0,69.6,6.9,-6.9,6.1,-6.1
65.0,107.1,9.4,-9.4,9.4,-9.4
75.0,93.4,9.5,-9.5,8.2,-8.2
85.0,132.0,11.0,-11.0,12.0,-12.0
95.0,135.0,12.0,-12.0,12.0,-12.0
105.0,125.0,12.0,-12.0,11.0,-11.0
119.0,142.0,11.0,-11.0,12.0,-12.0
144.0,167.0,14.0,-14.0,15.0,-15.0
181.0,202.0,9.0,-9.0,25.0,-25.0
251.0,246.0,13.0,-13.0,32.0,-32.0

#: ABS(T) [GEV**2],0.30 TO 0.60
#: RE,GAMMA P --> J/PSI P
#: Q**2 [GEV**2],0.05 (BIN=0 TO 1)
#: SQRT(S) [GeV],45.0-251.0
'W [GEV]','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
45.0,35.5,3.6,-3.6,3.1,-3.1
55.0,35.6,3.4,-3.4,3.1,-3.1
65.0,34.3,3.7,-3.7,3.0,-3.0
75.0,38.9,4.3,-4.3,3.4,-3.4
85.0,41.4,4.4,-4.4,3.6,-3.6
95.0,46.3,4.8,-4.8,4.1,-4.1
105.0,48.5,5.3,-5.3,4.3,-4.3
119.0,60.9,4.9,-4.9,5.4,-5.4
144.0,51.5,5.3,-5.3,4.5,-4.5
181.0,67.0,4.1,-4.1,8.8,-8.8
251.0,71.6,5.5,-5.5,9.8,-9.8

#: ABS(T) [GEV**2],0.60 TO 1.20
#: RE,GAMMA P --> J/PSI P
#: Q**2 [GEV**2],0.05 (BIN=0 TO 1)
#: SQRT(S) [GeV],45.0-251.0
'W [GEV]','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
45.0,5.7,0.8,-0.8,0.5,-0.5
55.0,5.5,0.7,-0.7,0.5,-0.5
65.0,6.2,0.9,-0.9,0.5,-0.5
75.0,7.1,1.1,-1.1,0.6,-0.6
85.0,8.2,1.1,-1.1,0.7,-0.7
95.0,7.5,1.1,-1.1,0.7,-0.7
105.0,7.7,1.1,-1.1,0.7,-0.7
119.0,8.2,1.0,-1.0,0.7,-0.7
144.0,8.4,1.1,-1.1,0.7,-0.7
181.0,10.7,1.1,-1.1,1.7,-1.7
251.0,13.1,1.8,-1.8,1.9,-1.9

