#: table_doi: 10.17182/hepdata.46134.v1/t14
#: name: Table 14
#: description: Slope parameter derived from the one dimensional fit to the DSIG/DT differential distribution as a function of W in Q**2 bins in the photoproduction region.

#: data_file: Table14.yaml
#: keyword reactions: E- P --> E- J/PSI P | E+ P --> E+ J/PSI P | GAMMA P --> J/PSI P
#: keyword observables: DSIG/DT | SLOPE
#: keyword phrases: Exclusive | J/Psi | Single Differential Cross Section | Photoproduction | Electron production
#: keyword cmenergies: 44.8-250.7
#: RE,,,GAMMA P --> J/PSI P
#: Q**2 [GEV**2],,,0.05 (BIN=0 TO 1)
#: SQRT(S) [GeV],,,44.8-250.7
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','SLOPE [GEV**-2]','stat +','stat -','sys +','sys -'
44.8,40.0,50.0,4.13,0.2,-0.2,0.14,-0.27
54.8,50.0,60.0,4.3,0.19,-0.19,0.14,-0.31
64.8,60.0,70.0,4.57,0.2,-0.2,0.14,-0.17
74.8,70.0,80.0,4.46,0.24,-0.24,0.15,-0.46
84.9,80.0,90.0,4.45,0.2,-0.2,0.15,-0.25
94.9,90.0,100.0,4.72,0.21,-0.21,0.15,-0.19
104.9,100.0,110.0,4.79,0.22,-0.22,0.15,-0.36
119.5,110.0,130.0,4.71,0.16,-0.16,0.14,-0.18
144.1,130.0,160.0,4.95,0.19,-0.19,0.15,-0.3
180.6,135.0,235.0,5.08,0.14,-0.14,0.25,-0.27
250.7,205.0,305.0,5.41,0.2,-0.2,0.29,-0.4

