#: table_doi: 10.17182/hepdata.46134.v1/t17
#: name: Table 17
#: description: Spin density matrix elements as a function of ABS(T) for photoproduction data in the W region 40 to 160 GeV.

#: data_file: Table17.yaml
#: keyword reactions: E- P --> E- J/PSI P | E+ P --> E+ J/PSI P | GAMMA P --> J/PSI P
#: keyword observables: POL.RHO
#: keyword phrases: Exclusive | J/Psi | Polarization | Photoproduction | Electron production
#: keyword cmenergies: 40.0-160.0
#: RE,GAMMA P --> J/PSI P
#: W [GEV],40 TO 160
#: Q**2 [GEV**2],0.05 (BIN=0 TO 1)
#: SQRT(S) [GeV],40.0-160.0
'ABS(T) [GEV**2]','POL.RHO(ALPHA=04//MM=00)','stat +','stat -','sys +','sys -'
0.03,0.003,0.039,-0.039,0.028,-0.028
0.1,0.011,0.043,-0.043,0.029,-0.029
0.22,0.026,0.036,-0.036,0.028,-0.028
0.43,0.013,0.037,-0.037,0.029,-0.029
0.84,0.047,0.041,-0.041,0.029,-0.029
1.8,0.066,0.061,-0.061,0.028,-0.028
3.5,0.018,0.081,-0.081,0.028,-0.028

#: RE,GAMMA P --> J/PSI P
#: W [GEV],40 TO 160
#: Q**2 [GEV**2],0.05 (BIN=0 TO 1)
#: SQRT(S) [GeV],40.0-160.0
'ABS(T) [GEV**2]','POL.RHO(ALPHA=04//MM=1-1)','stat +','stat -','sys +','sys -'
0.03,-0.011,0.036,-0.036,0.03,-0.03
0.1,-0.041,0.042,-0.042,0.03,-0.03
0.22,0.104,0.035,-0.035,0.029,-0.029
0.43,0.025,0.037,-0.037,0.03,-0.03
0.84,0.064,0.047,-0.047,0.034,-0.034
1.8,-0.01,0.06,-0.06,0.03,-0.03
3.5,-0.074,0.082,-0.082,0.032,-0.032

