#: table_doi: 10.17182/hepdata.46134.v1/t2
#: name: Table 2
#: description: Cross section for elastic J/PSI photoproduction in W bins for ABS(T) < 1.2 GeV**2 and Q**2 < 1 GeV**2.. There are two cross sections for the 205 to 235 GeV bin due to overlapping data sets. The mean is 151 +- 8 (DSYS=20) nb.

#: data_file: Table2.yaml
#: keyword reactions: E- P --> E- J/PSI P | E+ P --> E+ J/PSI P | GAMMA P --> J/PSI P
#: keyword observables: SIG
#: keyword phrases: Exclusive | J/Psi | Integrated Cross Section | Cross Section | Photoproduction | Electron production
#: keyword cmenergies: 44.8-292.3
#: ABS(T) [GEV**2],,,< 1.2
#: RE,,,GAMMA P --> J/PSI P
#: Q**2 [GEV**2],,,0.05 (BIN=0 TO 1)
#: SQRT(S) [GeV],,,44.8-292.3
'W [GEV]','W [GEV] LOW','W [GEV] HIGH','SIG [NB]','stat +','stat -','sys +','sys -'
44.8,40.0,50.0,46.0,2.4,-2.4,4.0,-4.0
54.8,50.0,60.0,48.5,2.3,-2.3,4.3,-4.3
64.8,60.0,70.0,59.7,2.8,-2.8,5.3,-5.3
74.8,70.0,80.0,62.7,3.2,-3.2,5.5,-5.5
84.9,80.0,90.0,72.6,3.4,-3.4,6.4,-6.4
94.9,90.0,100.0,78.6,3.7,-3.7,6.9,-6.9
104.9,100.0,110.0,82.6,4.0,-4.0,7.3,-7.3
119.5,110.0,130.0,91.5,3.5,-3.5,8.1,-8.1
144.1,130.0,160.0,98.3,4.4,-4.4,8.7,-8.7
144.9,135.0,155.0,98.6,6.6,-6.6,9.6,-9.6
162.5,155.0,170.0,114.0,8.0,-8.0,11.0,-11.0
177.3,170.0,185.0,126.0,8.0,-8.0,12.0,-12.0
194.8,185.0,205.0,143.0,10.0,-10.0,15.0,-15.0
219.6,205.0,235.0,187.0,14.0,-14.0,25.0,-25.0
219.6,205.0,235.0,133.0,10.0,-10.0,18.0,-18.0
244.8,235.0,255.0,171.0,13.0,-13.0,17.0,-17.0
267.2,255.0,280.0,173.0,13.0,-13.0,18.0,-18.0
292.3,280.0,305.0,194.0,19.0,-19.0,23.0,-23.0

