#: table_doi: 10.17182/hepdata.46134.v1/t6
#: name: Table 6
#: description: Parameters of the fits of the cross section as W**POWER and slope of the D(SIG)/DT distribution.

#: data_file: Table6.yaml
#: keyword reactions: E- P --> E- J/PSI P | E+ P --> E+ J/PSI P | GAMMA P --> J/PSI P
#: keyword observables: POWER | SLOPE
#: keyword phrases: Exclusive | J/Psi | Photoproduction | Electron production
#: keyword cmenergies: 40.0-160.0
#: ABS(T) [GEV**2],,,< 1.2
#: RE,,,GAMMA P --> J/PSI P
#: W [GEV],,,40 TO 160
#: SQRT(S) [GeV],,,40.0-160.0
'Q**2 [GEV**2]','Q**2 [GEV**2] LOW','Q**2 [GEV**2] HIGH','POWER(N=W,YN=SIG)','stat +','stat -','sys +','sys -'
0.05,0.0,1.0,0.75,0.03,-0.03,0.03,-0.03
3.2,2.0,5.0,0.67,0.2,-0.2,0.14,-0.14
7.0,5.0,10.0,0.83,0.31,-0.31,0.15,-0.15
22.4,10.0,80.0,0.69,0.32,-0.32,0.14,-0.14

#: ABS(T) [GEV**2],,,< 1.2
#: RE,,,GAMMA P --> J/PSI P
#: W [GEV],,,40 TO 160
#: SQRT(S) [GeV],,,40.0-160.0
'Q**2 [GEV**2]','Q**2 [GEV**2] LOW','Q**2 [GEV**2] HIGH','SLOPE [GEV**2]','stat +','stat -','sys +','sys -'
0.05,0.0,1.0,4.57,0.06,-0.06,0.11,-0.18
3.2,2.0,5.0,4.11,0.26,-0.26,0.37,-0.37
7.0,5.0,10.0,3.5,0.5,-0.5,0.49,-0.49
22.4,10.0,80.0,3.49,0.45,-0.45,0.33,-0.33

