#: table_doi: 10.17182/hepdata.56191.v1/t1
#: name: Table 1
#: description: Q**2 dependence of the GAMMA* P elastic RHO0 meson production at mean W There is an additional overall normalization uncertainty of 3.9 PCT.

#: data_file: Table1.yaml
#: keyword reactions: GAMMA* P --> RHO0 P
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: RE,GAMMA* P --> RHO0 P
#: W [GeV],75.0 (35.0-180.0)
#: sqrts [GEV],300 + 320
'Q**2 [GEV**2]','SIG [NB]','stat +','stat -','sys +','sys -'
2.65,563.0,32.0,-32.0,59.0,-45.0
2.95,423.0,24.0,-24.0,49.0,-34.0
3.3,383.0,20.0,-20.0,43.0,-30.0
3.7,295.0,17.0,-17.0,33.0,-25.0
4.15,232.0,16.0,-16.0,27.0,-17.0
4.65,198.0,13.0,-13.0,20.0,-19.0
5.2,154.0,9.0,-9.0,17.0,-8.0
5.85,131.0,9.0,-9.0,12.0,-7.0
6.55,102.0,8.0,-8.0,8.0,-7.0
7.35,79.1,6.4,-6.4,6.6,-3.6
8.2,56.5,4.3,-4.3,5.5,-2.2
9.2,53.0,3.9,-3.9,4.2,-3.7
10.3,39.3,3.9,-3.9,4.2,-2.8
11.5,30.8,2.9,-2.9,2.8,-2.5
12.9,25.8,2.2,-2.2,2.7,-1.7
14.5,15.7,1.3,-1.3,1.7,-1.2
16.5,12.5,1.0,-1.0,1.3,-1.1
18.8,9.22,0.82,-0.82,1.11,-0.8
21.7,5.99,0.58,-0.58,0.67,-0.55
25.0,3.54,0.42,-0.42,0.39,-0.31
29.3,2.24,0.31,-0.31,0.31,-0.28
35.0,1.68,0.27,-0.27,0.24,-0.21
46.0,0.742,0.105,-0.105,0.101,-0.088

