#: table_doi: 10.17182/hepdata.56191.v1/t2
#: name: Table 2
#: description: Q**2 dependence of the GAMMA* P cross section for proton dissociative RHO0 meson production at mean W There is an additional overall normalization uncertainty of 4.6 PCT.

#: data_file: Table2.yaml
#: keyword reactions: GAMMA* P --> RHO0 DD
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: RE,GAMMA* P --> RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: sqrts [GEV],300 + 320
#: M(P=4) [GEV],< 5
'Q**2 [GEV**2]','SIG [NB]','stat +','stat -','sys +','sys -'
2.71,314.0,32.0,-32.0,45.0,-35.0
3.21,217.0,20.0,-20.0,29.0,-24.0
3.82,182.0,16.0,-16.0,26.0,-17.0
4.52,131.0,13.0,-13.0,17.0,-16.0
5.36,57.7,6.2,-6.2,6.8,-6.0
6.35,50.5,5.7,-5.7,6.5,-4.9
7.6,40.4,4.6,-4.6,5.1,-3.7
9.3,25.9,2.3,-2.3,3.0,-2.3
12.0,17.0,1.8,-1.8,2.3,-1.7
14.85,10.8,1.4,-1.4,1.2,-1.2
19.2,3.39,0.45,-0.45,0.53,-0.56
32.15,1.01,0.12,-0.12,0.16,-0.16

