#: table_doi: 10.17182/hepdata.56191.v1/t22
#: name: Table 22
#: description: T dependence of the GAMMA* P cross section for dissociative RHO0  production for several values. There is an additional overall normalization uncertainty of 4.6 PCT.

#: data_file: Table22.yaml
#: keyword reactions: GAMMA* P --> RHO0 DD
#: keyword observables: DSIG/DT
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: RE,GAMMA* P --> RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],3.3
#: sqrts [GEV],300 + 320
#: M(P=4) [GEV],< 5
'ABS(T) [GEV**2]','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
0.1,379.0,32.0,-32.0,47.0,-48.0
0.3,214.0,19.0,-19.0,28.0,-19.0
0.5,149.0,16.0,-16.0,21.0,-15.0
0.7,74.1,11.3,-11.3,11.1,-8.0
0.9,71.8,13.7,-13.7,11.0,-8.0
1.1,29.1,8.4,-8.4,6.0,-4.3
1.3,30.8,12.4,-12.4,6.6,-4.0
1.5,14.8,4.5,-4.5,2.7,-2.9
1.8,8.65,2.29,-2.29,1.78,-1.78
2.25,2.85,1.32,-1.32,0.94,-1.02
2.75,0.807,0.653,-0.653,0.258,-0.406

#: RE,GAMMA* P --> RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],606.0
#: sqrts [GEV],300 + 320
#: M(P=4) [GEV],< 5
'ABS(T) [GEV**2]','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
0.1,76.5,7.6,-7.6,7.5,-7.2
0.3,58.7,7.6,-7.6,8.8,-5.2
0.5,25.0,3.5,-3.5,3.3,-2.6
0.7,30.4,4.9,-4.9,4.0,-3.0
0.9,13.1,1.9,-1.9,2.1,-1.7
1.1,7.63,1.48,-1.48,1.23,-1.19
1.3,6.98,1.37,-1.37,1.3,-0.86
1.5,5.12,1.13,-1.13,0.69,-0.54
1.8,3.01,0.64,-0.64,0.59,-0.52
2.25,1.71,0.42,-0.42,0.39,-0.36
2.75,0.62,0.278,-0.278,0.182,-0.222

#: RE,GAMMA* P --> RHO0 DD
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],11.5
#: sqrts [GEV],300 + 320
#: M(P=4) [GEV],< 5
'ABS(T) [GEV**2]','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
0.1,9.88,1.13,-1.13,1.32,-1.33
0.3,4.33,0.64,-0.64,0.57,-0.7
0.5,4.87,0.78,-0.78,0.71,-0.56
0.7,2.32,0.35,-0.35,0.33,-0.33
0.9,1.45,0.27,-0.27,0.28,-0.24
1.1,1.89,0.43,-0.43,0.23,-0.35
1.3,0.882,0.216,-0.216,0.225,-0.093
1.5,0.613,0.193,-0.193,0.093,-0.611
1.8,0.426,0.108,-0.108,0.096,-0.095
2.25,0.37,0.089,-0.089,0.095,-0.089
2.75,0.417,0.245,-0.245,0.037,-1.058

