#: table_doi: 10.17182/hepdata.56191.v1/t23
#: name: Table 23
#: description: T dependence of the GAMMA* P cross section for elastic PHI production  for several values. There is an additional overall normalization uncertainty of 4.7 PCT.

#: data_file: Table23.yaml
#: keyword reactions: GAMMA* P --> PHI P
#: keyword observables: DSIG/DT
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: RE,GAMMA* P --> PHI P
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],3.3
#: sqrts [GEV],300 + 320
'ABS(T) [GEV**2]','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
0.025,431.0,34.0,-34.0,40.0,-25.0
0.075,209.0,24.0,-24.0,24.0,-22.0
0.125,120.0,21.0,-21.0,24.0,-16.0
0.175,85.4,17.1,-17.1,15.2,-9.6
0.25,64.6,10.5,-10.5,9.0,-7.4
0.35,27.5,7.4,-7.4,5.8,-3.6
0.45,27.4,7.1,-7.1,5.4,-4.5

#: RE,GAMMA* P --> PHI P
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],606.0
#: sqrts [GEV],300 + 320
'ABS(T) [GEV**2]','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
0.025,93.1,10.4,-10.4,7.8,-3.9
0.075,77.7,9.1,-9.1,6.8,-3.4
0.125,34.1,6.1,-6.1,3.1,-2.6
0.175,24.9,5.0,-5.0,2.8,-1.7
0.25,21.2,3.8,-3.8,2.7,-2.7
0.35,8.77,2.37,-2.37,1.54,-1.0
0.45,6.41,2.12,-2.12,1.29,-1.26

#: RE,GAMMA* P --> PHI P
#: W [GeV],75.0 (35.0-180.0)
#: Q**2 [GeV^2],11.5
#: sqrts [GEV],300 + 320
'ABS(T) [GEV**2]','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
0.025,8.24,1.14,-1.14,1.09,-0.89
0.075,10.7,1.4,-1.4,1.3,-1.1
0.125,3.89,0.85,-0.85,0.59,-0.42
0.175,3.96,0.8,-0.8,0.48,-0.56
0.25,2.32,0.47,-0.47,0.39,-0.29
0.35,0.702,0.296,-0.296,0.188,-0.14
0.45,0.349,0.278,-0.278,0.16,-0.15

