#: table_doi: 10.17182/hepdata.56191.v1/t3
#: name: Table 3
#: description: Q**2 dependence of the GAMMA* P elastic PHI meson production at mean W There is an additional overall normalization uncertainty of 4.7 PCT.

#: data_file: Table3.yaml
#: keyword reactions: GAMMA* P --> PHI P
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: RE,GAMMA* P --> PHI P
#: W [GeV],75.0 (35.0-180.0)
#: sqrts [GEV],300 + 320
'Q**2 [GEV**2]','SIG [NB]','stat +','stat -','sys +','sys -'
2.71,72.6,8.5,-8.5,10.6,-7.6
3.21,64.5,6.2,-6.2,8.3,-6.0
3.82,46.4,4.5,-4.5,5.2,-3.6
4.52,35.0,4.0,-4.0,4.1,-3.4
5.36,25.1,2.7,-2.7,2.6,-1.4
6.35,18.2,2.0,-2.0,1.9,-1.5
7.6,12.6,1.5,-1.5,1.2,-0.7
9.3,7.04,0.9,-0.9,0.78,-0.52
12.0,5.34,0.63,-0.63,0.56,-0.37
14.85,2.25,0.38,-0.38,0.3,-0.21
19.2,1.28,0.24,-0.24,0.17,-0.13
32.15,0.371,0.076,-0.076,0.049,-0.042

