#: table_doi: 10.17182/hepdata.56191.v1/t46
#: name: Table 46
#: description: Spin density matrix elements for diffractive electroproduction of PHI mesons as a function of  Q**2.

#: data_file: Table46.yaml
#: keyword reactions: E+ P --> E+ PHI DD | E- P --> E- PHI DD
#: keyword observables: RHO
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- PHI DD
#: W [GeV],75.0 (35.0-180.0)
#: sqrts [GEV],300 + 320
'Q**2 [GEV**2]','Q**2 [GEV**2]','','stat +','stat -','sys +','sys -'
3.3,3.3,-0.01,0.015,-0.015,0.008,-0.005
6.6,3.3,-0.002,0.015,-0.015,0.003,-0.004
15.8,3.3,0.035,0.019,-0.019,0.082,-0.012
3.3,6.6,-0.147,0.01,-0.01,0.005,-0.006
6.6,6.6,-0.174,0.012,-0.012,0.005,-0.006
15.8,6.6,-0.121,0.016,-0.016,0.004,-0.005
3.3,15.8,-0.039,0.013,-0.013,0.006,-0.009
6.6,15.8,0.006,0.014,-0.014,0.004,-0.005
15.8,15.8,-0.003,0.017,-0.017,0.003,-0.003

