#: table_doi: 10.17182/hepdata.56191.v1/t7
#: name: Table 7
#: description: Q**2 dependence of the longitudinal and transverse GAMMA* P cross sections for elastic RHO0 production at mean W There is an additional overall normalization uncertainty of 3.9 PCT.

#: data_file: Table7.yaml
#: keyword reactions: GAMMA* P --> RHO0 P
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: RE,GAMMA* P --> RHO0 P
#: W [GeV],75.0 (35.0-180.0)
#: sqrts [GEV],300 + 320
'Q**2 [GEV**2]','SIG(C=T) [NB]','stat +','stat -','sys +','sys -'
2.9,180.0,11.0,-11.0,23.0,-17.0
4.1,78.1,5.5,-5.5,10.2,-8.2
6.6,23.7,1.6,-1.6,3.1,-2.1
11.9,5.0,0.6,-0.6,0.7,-0.5
18.6,1.49,0.25,-0.25,0.3,-0.27
31.3,0.27,0.06,-0.06,0.05,-0.05

#: RE,GAMMA* P --> RHO0 P
#: W [GeV],75.0 (35.0-180.0)
#: sqrts [GEV],300 + 320
'Q**2 [GEV**2]','SIG(C=L) [NB]','stat +','stat -','sys +','sys -'
2.9,288.0,26.0,-26.0,29.0,-20.0
4.1,165.0,17.0,-17.0,17.0,-12.0
6.6,74.7,6.9,-6.9,5.6,-3.2
11.9,24.0,3.4,-3.4,2.3,-1.6
18.6,7.7,1.8,-1.8,0.9,-0.7
31.3,1.76,0.49,-0.49,0.2,-0.17

