#: table_doi: 10.17182/hepdata.56191.v1/t74
#: name: Table 74
#: description: Spin density matrix elements for diffractive electroproduction of PHI mesons as a function of  T.

#: data_file: Table74.yaml
#: keyword reactions: E+ P --> E+ PHI DD | E- P --> E- PHI DD
#: keyword observables: RHO
#: keyword phrases: Exclusive | Electron production
#: M(P=5) [GEV],< 5
#: RE,E+- P --> E+- PHI DD
#: W [GeV],75.0 (35.0-180.0)
#: sqrts [GEV],300 + 320
'ABS(T) [GEV**2]','ABS(T) [GEV**2]','','stat +','stat -','sys +','sys -'
0.08,0.08,0.215,0.021,-0.021,0.009,-0.007
0.34,0.08,0.064,0.032,-0.032,0.01,-0.013
1.05,0.08,0.114,0.067,-0.067,0.06,-0.031
0.08,0.34,0.014,0.019,-0.019,0.015,-0.013
0.34,0.34,-0.018,0.027,-0.027,0.017,-0.019
1.05,0.34,0.094,0.053,-0.053,0.037,-0.021
0.08,1.05,-0.132,0.022,-0.022,0.007,-0.008
0.34,1.05,-0.129,0.033,-0.033,0.008,-0.013
1.05,1.05,-0.204,0.06,-0.06,0.036,-0.045

