z, A, lambda, tau
9.292015056644724,-84.07773588292422,1.2160497245516912e57,70.
9.286616853277073,-83.97773588292422,1.0462056353674334e57,69.48454695041279
9.281215491870851,-83.87773588292421,9.000829846605406e56,68.97257111100463
9.275810966841494,-83.77773588292422,7.743687597058878e56,68.46406836509622
9.270403272594386,-83.67773588292421,6.662126446221293e56,67.95901700199734
9.264992403523173,-83.57773588292422,5.7316240129597595e56,67.45739543595629
9.259578354008484,-83.47773588292422,4.931082746167452e56,66.95918220555791
9.254161118416958,-83.37773588292421,4.24235161785854e56,66.46435597310301
9.248740691100522,-83.27773588292422,3.6498146144451257e56,65.97289552398583
9.243317066395827,-83.17773588292421,3.1400366977240826e56,65.48477976605905
9.237890238623807,-83.07773588292422,2.701459209782114e56,64.99998772899929
9.232460202089339,-82.97773588292422,2.3241378168057e56,64.5184985636711
9.22702695108098,-82.87773588292421,1.999517051064647e56,64.0402915414874
9.221590479870736,-82.77773588292422,1.7202363399590642e56,63.56534605377378
9.216150782713893,-82.67773588292421,1.4799631247931056e56,63.093641611131815
9.210707853848849,-82.57773588292422,1.2732492860366412e56,62.62515784280736
9.205261687496996,-82.47773588292422,1.0954076201741693e56,62.15987449605438
9.199812277862593,-82.37773588292421,9.424055677996602e55,61.697771435508685
9.194359619132666,-82.27773588292422,8.107737836943182e55,61.23882864256125
9.188903705476905,-82.17773588292421,6.975274760880604e55,60.7830262147301
9.18344453104758,-82.07773588292422,6.000987317842281e55,60.33034436504241
9.177982089979446,-81.97773588292422,5.162782928753655e55,59.880763421415416
9.172516376389662,-81.87773588292421,4.4416546505013813e55,59.43426382603752
9.167047384377712,-81.77773588292422,3.821250218366985e55,58.99082613475915
9.161575108025321,-81.67773588292421,3.2875012773036914e55,58.55043101648078
9.156099541396376,-81.57773588292422,2.8283043960611484e55,58.113059252546336
9.150620678536853,-81.47773588292422,2.4332466321195183e55,57.678691736139484
9.145138513474727,-81.37773588292421,2.0933694254147844e55,57.24730947168123
9.139653040219908,-81.27773588292422,1.8009654677904618e55,56.81889357423473
9.134164252764151,-81.17773588292421,1.5494039427167704e55,56.39342526890734
9.128672145080989,-81.07773588292422,1.3329801730148694e55,55.97088589025868
9.123176711125643,-80.97773588292422,1.146786267691093e55,55.55125688171385
9.117677944834952,-80.87773588292421,9.865998350752812e54,55.13451979497413
9.112175840127291,-80.77773588292422,8.487882390539166e54,54.72065628943557
9.106670390902492,-80.67773588292421,7.302262275833735e54,54.309648131606885
9.101161591041768,-80.57773588292422,6.282250658487457e54,53.901477194533186
9.095649434407624,-80.47773588292422,5.404715672700295e54,53.496125457220415
9.090133914843786,-80.37773588292421,4.649756399680918e54,53.09357500406495
9.084615026175117,-80.27773588292422,4.0002515936995256e54,52.69380802428164
9.079092762207534,-80.17773588292421,3.441471437382193e54,52.29680681134007
9.073567116727931,-80.07773588292422,2.960743523149119e54,51.90255376240145
9.06803808350409,-79.97773588292422,2.5471654871797957e54,51.511031377754904
9.062505656284607,-79.87773588292421,2.1913577800531542e54,51.12222226026373
9.056969828798799,-79.77773588292422,1.8852509682468572e54,50.7361091148075
9.051430594756631,-79.67773588292421,1.62190274361927e54,50.35267474773205
9.045887947848628,-79.57773588292422,1.3953404915890464e54,49.97190206629749
9.040341881745785,-79.47773588292422,1.2004258482416412e54,49.59377407813421
9.034792390099494,-79.37773588292421,1.0327381751717804e54,49.21827389069628
9.029239466541444,-79.27773588292422,8.884743098144357e53,48.84538471072349
9.023683104683549,-79.17773588292421,7.643623180532168e53,48.47508984369879
9.018123298117859,-79.07773588292422,6.575872933912493e53,48.10737269331622
9.012560040416464,-78.97773588292422,5.657275201198895e53,47.74221676094479
9.006993325131413,-78.87773588292421,4.86699552923859e53,47.37960564510132
9.001423145794634,-78.77773588292422,4.1871096754060035e53,47.01952304091825
8.995849495917831,-78.67773588292421,3.6021971103442822e53,46.66195273962267
8.99027236899241,-78.57773588292422,3.098991298941339e53,46.30687862801098
8.984691758489374,-78.47773588292422,2.666078829098966e53,45.954284687931235
8.979107657859249,-78.37773588292423,2.2936405655087675e53,45.60415499576297
8.973520060531982,-78.27773588292422,1.9732289585977874e53,45.2564737219058
8.967928959916861,-78.17773588292422,1.6975764586583784e53,44.911225130265066
8.962334349402413,-78.07773588292422,1.4604306905213911e53,44.568393577741865
8.95673622235632,-77.97773588292422,1.2564126509615695e53,44.22796351372952
8.95113457212532,-77.87773588292423,1.0808947130946804e53,43.88991947960432
8.945529392035125,-77.77773588292422,9.298956711830274e52,43.55424610822756
8.939920675390315,-77.67773588292422,7.999904456853745e52,43.220928123444004
8.934308415474254,-77.57773588292422,6.882324008362587e52,42.889950339587116
8.92869260554899,-77.47773588292422,5.920865130554061e52,42.561297660981204
8.923073238855162,-77.37773588292423,5.093718745535133e52,42.2349550814538
8.917450308611905,-77.27773588292422,4.3821222819950315e52,41.9109076838433
8.911823808016752,-77.17773588292422,3.7699341184293285e52,41.58914063951306
8.906193730245542,-77.07773588292422,3.2432674697596737e52,41.26963920786634
8.90056006845232,-76.97773588292422,2.7901754142446435e52,40.9523887358666
8.894922815769233,-76.87773588292423,2.400379917335734e52,40.637374657554815
8.889281965306443,-76.77773588292422,2.0650387069061583e52,40.32458249357378
8.883637510152028,-76.67773588292422,1.7765447126850953e52,40.01399785069438
8.877989443371865,-76.57773588292422,1.528353521238693e52,39.70560642134133
8.872337758009554,-76.47773588292422,1.3148349331968e52,39.39939398312431
8.866682447086305,-76.37773588292423,1.1311452560325924e52,39.095346398370346
8.86102350360083,-76.27773588292422,9.731174359669729e51,38.79344961365896
8.855360920529261,-76.17773588292422,8.371665371452577e51,38.493689659358616
8.849694690825029,-76.07773588292422,7.20208424299608e51,38.19605264916564
8.84402480741877,-75.97773588292422,6.195898045607087e51,37.90052477964916
8.83835126321822,-75.87773588292423,5.3302804170238034e51,37.60709232979035
8.832674051108112,-75.77773588292422,4.5855937774188546e51,37.3157416605337
8.82699316395007,-75.67773588292422,3.944943874966097e51,37.02645921433306
8.8213085945825,-75.57773588292422,3.393796557429553e51,36.73923151470328
8.815620335820498,-75.47773588292422,2.919648077544919e51,36.45404516577299
8.80992838045572,-75.37773588292423,2.5117414541337035e51,36.17088685184248
8.804232721256298,-75.27773588292422,2.1608224554706636e51,35.889743336938004
8.798533350966718,-75.17773588292422,1.8589296700905955e51,35.610601464375776
8.792830262307719,-75.07773588292422,1.599213903358586e51,35.333448156321204
8.787123447976178,-74.97773588292422,1.3757828032746938e51,35.05827041335526
8.781412900645005,-74.87773588292423,1.183567191214142e51,34.78505531404023
8.77569861296303,-74.77773588292422,1.0182060656096686e51,34.51379001448889
8.769980577554891,-74.67773588292422,8.759476701144525e50,34.24446174793766
8.76425878702093,-74.57773588292422,7.535643821587766e50,33.97705782431673
8.758533233937069,-74.47773588292422,6.482794912883503e50,33.71156562982764
8.752803910854702,-74.37773588292423,5.577042063588171e50,33.447972626520865
8.747070810300588,-74.27773588292422,4.797834626771469e50,33.186266351875055
8.741333924776725,-74.17773588292422,4.127492997855236e50,32.92643441838045
8.735593246760244,-74.07773588292422,3.550807523067927e50,32.66846451312084
8.729848768703286,-73.97773588292422,3.0546934400633366e50,32.41234439736169
8.724100483032895,-73.87773588292423,2.6278940232300356e50,32.1580619061372
8.71834838215089,-73.77773588292422,2.2607251996677435e50,31.905604947842555
8.712592458433754,-73.67773588292422,1.944855842499241e50,31.65496150382492
8.706832704232514,-73.57773588292422,1.673118757482875e50,31.406119627978654
8.701069111872624,-73.47773588292422,1.4393480751317792e50,31.159067446341737
8.695301673653837,-73.37773588292423,1.2382393595275115e50,30.9137931566953
8.689530381850094,-73.27773588292422,1.06522926032815e50,30.670285028164617
8.683755228709398,-73.17773588292422,9.163919777936234e49,30.428531400820766
8.677976206453689,-73.07773588292422,7.883501920480759e49,30.188520685286136
8.672193307278729,-72.97773588292422,6.781984359170501e49,29.950241362342666
8.666406523353968,-72.87773588292421,5.834371729566913e49,29.713681982539196
8.660615846822434,-72.77773588292422,5.019160851428423e49,29.478831165803065
8.654821269800587,-72.67773588292421,4.3178528360971434e49,29.245677601052677
8.649022784378216,-72.57773588292422,3.7145333556698714e49,29.014210045814277
8.643220382618294,-72.47773588292421,3.195511551529333e49,28.7844173258363
8.63741405655686,-72.37773588292421,2.749009390098626e49,28.556288334710484
8.631603798202889,-72.27773588292422,2.364894418123037e49,28.329812033490768
8.625789599538162,-72.17773588292421,2.0344498543578852e49,28.104977450318554
8.619971452517138,-72.07773588292422,1.7501768015661403e49,27.88177368004571
8.614149349066818,-71.97773588292421,1.505624091429376e49,27.660189883861733
8.608323281086623,-71.87773588292421,1.2952419018775944e49,27.440215288922595
8.60249324044825,-71.77773588292422,1.1142558256649082e49,27.221839187980564
8.596659218995551,-71.67773588292421,9.585585329999309e48,27.00505093901834
8.59082120854439,-71.57773588292422,8.246165701998113e48,26.789839964882084
8.584979200882513,-71.47773588292421,7.093901797357787e48,26.576195752917535
8.579133187769406,-71.37773588292421,6.102643224637387e48,26.36410785460863
8.573283160936171,-71.27773588292422,5.2498933698631034e48,26.15356588521833
8.567429112085374,-71.17773588292421,4.5162988974117824e48,25.94455952342886
8.561571032890921,-71.07773588292422,3.885210575122123e48,25.737078510986308
8.555708914997904,-70.97773588292421,3.3423054588350194e48,25.53111265234621
8.54984275002248,-70.87773588292421,2.8752618637271908e48,25.326651814321142
8.543972529551706,-70.77773588292422,2.473479747467793e48,25.12368592572901
8.538098245143424,-70.67773588292421,2.127840160582088e48,24.92220497704457
8.532219888326095,-70.57773588292422,1.8304983058059447e48,24.722199020054283
8.526337450598671,-70.47773588292421,1.5747055107840462e48,24.523658167506227
8.520450923430449,-70.37773588292421,1.3546560744968397e48,24.326572592772237
8.514560298260914,-70.27773588292422,1.1653555121791282e48,24.130932529501965
8.508665566499607,-70.17773588292421,1.0025072090262857e48,23.936728271284053
8.502766719525972,-70.07773588292422,8.624149106806792e47,23.7439501713088
8.496863748689206,-69.97773588292421,7.418988378342327e47,23.55258864203089
8.490956645308115,-69.87773588292421,6.382235214216553e47,23.362634154834794
8.485045400670959,-69.77773588292422,5.490357208272481e47,23.174077239701695
8.479130006035307,-69.67773588292421,4.723110163222417e47,22.986908484879045
8.47321045262788,-69.57773588292422,4.0630786377712235e47,22.801118536550234
8.467286731644398,-69.47773588292421,3.495280690225715e47,22.6166980985056
8.461358834249433,-69.37773588292421,3.0068278490472814e47,22.4336379318206
8.455426751576248,-69.27773588292422,2.5866325939937755e47,22.25192885452535
8.44949047472664,-69.17773588292421,2.2251567096101005e47,22.07156174128795
8.443549994770791,-69.07773588292422,1.9141948003028897e47,21.89252752308955
8.437605302747105,-68.97773588292421,1.6466880541363416e47,21.714817186905844
8.431656389662049,-68.87773588292421,1.4165640289047768e47,21.53842177539052
