minus_t,dsigma,error_plus,error_minus,syst_plus,syst_minus
0.11,21.49,0.9,-0.9,'10.0%','-10.0%'
0.13,16.39,0.38,-0.38,'10.0%','-10.0%'
0.15,12.44,0.31,-0.31,'10.0%','-10.0%'
0.17,10.82,0.28,-0.28,'10.0%','-10.0%'
0.19,8.77,0.25,-0.25,'10.0%','-10.0%'
0.21,7.19,0.22,-0.22,'10.0%','-10.0%'
0.23,5.82,0.24,-0.24,'10.0%','-10.0%'
0.25,5.2,0.37,-0.37,'10.0%','-10.0%'
0.27,3.59,0.29,-0.29,'10.0%','-10.0%'
0.29,3.22,0.32,-0.32,'10.0%','-10.0%'
0.31,2.61,0.14,-0.14,'10.0%','-10.0%'
0.33,2.1,0.26,-0.26,'10.0%','-10.0%'
0.35,1.53,0.21,-0.21,'10.0%','-10.0%'
0.37,1.13,0.14,-0.14,'10.0%','-10.0%'
0.39,0.941,0.072,-0.072,'10.0%','-10.0%'
0.42,0.706,0.04,-0.04,'10.0%','-10.0%'
0.46,0.465,0.029,-0.029,'10.0%','-10.0%'
0.5,0.271,0.021,-0.021,'10.0%','-10.0%'
0.54,0.17,0.022,-0.022,'10.0%','-10.0%'
0.58,0.119,0.018,-0.018,'10.0%','-10.0%'
0.62,0.063,0.013,-0.013,'10.0%','-10.0%'
0.68,0.035,0.008,-0.008,'10.0%','-10.0%'
0.76,0.018,0.007,-0.007,'10.0%','-10.0%'
0.85,0.009,0.003,-0.003,'10.0%','-10.0%'
