minus_t,minus_t_low,minus_t_high,dsigma,error_plus,error_minus,syst_plus,syst_minus
0.825,0.8,0.85,0.0102,0.00163,-0.00163,'5.0%','-5.0%'
0.875,0.85,0.9,0.00567,0.00085,-0.00085,'5.0%','-5.0%'
0.925,0.9,0.95,0.00305,0.000518,-0.000518,'5.0%','-5.0%'
0.975,0.95,1.0,0.00154,0.000262,-0.000262,'5.0%','-5.0%'
1.025,1.0,1.05,0.000717,0.000108,-0.000108,'5.0%','-5.0%'
1.0750000000000002,1.05,1.1,0.000444,7.1e-05,-7.1e-05,'5.0%','-5.0%'
1.125,1.1,1.15,0.00018,2.88e-05,-2.88e-05,'5.0%','-5.0%'
1.1749999999999998,1.15,1.2,9.41e-05,1.69e-05,-1.69e-05,'5.0%','-5.0%'
1.225,1.2,1.25,6.12e-05,1.1e-05,-1.1e-05,'5.0%','-5.0%'
1.275,1.25,1.3,3.12e-05,6.86e-06,-6.86e-06,'5.0%','-5.0%'
1.3250000000000002,1.3,1.35,2.17e-05,5.21e-06,-5.21e-06,'5.0%','-5.0%'
1.375,1.35,1.4,3.89e-05,7.39e-06,-7.39e-06,'5.0%','-5.0%'
1.4249999999999998,1.4,1.45,3.56e-05,7.12e-06,-7.12e-06,'5.0%','-5.0%'
1.475,1.45,1.5,4.86e-05,8.75e-06,-8.75e-06,'5.0%','-5.0%'
1.525,1.5,1.55,3.78e-05,5.29e-06,-5.29e-06,'5.0%','-5.0%'
1.5750000000000002,1.55,1.6,4.8e-05,6.24e-06,-6.24e-06,'5.0%','-5.0%'
1.625,1.6,1.65,4.44e-05,5.77e-06,-5.77e-06,'5.0%','-5.0%'
1.6749999999999998,1.65,1.7,5.55e-05,6.66e-06,-6.66e-06,'5.0%','-5.0%'
1.725,1.7,1.75,6.62e-05,7.94e-06,-7.94e-06,'5.0%','-5.0%'
1.775,1.75,1.8,5.59e-05,6.71e-06,-6.71e-06,'5.0%','-5.0%'
1.8250000000000002,1.8,1.85,6.5e-05,7.8e-06,-7.8e-06,'5.0%','-5.0%'
1.875,1.85,1.9,6.54e-05,7.19e-06,-7.19e-06,'5.0%','-5.0%'
1.9249999999999998,1.9,1.95,5.74e-05,6.89e-06,-6.89e-06,'5.0%','-5.0%'
1.975,1.95,2.0,5.03e-05,6.54e-06,-6.54e-06,'5.0%','-5.0%'
2.05,2.0,2.1,4.09e-05,3.68e-06,-3.68e-06,'5.0%','-5.0%'
2.1500000000000004,2.1,2.2,4.12e-05,3.71e-06,-3.71e-06,'5.0%','-5.0%'
2.25,2.2,2.3,3.37e-05,3.03e-06,-3.03e-06,'5.0%','-5.0%'
2.3499999999999996,2.3,2.4,3.11e-05,2.8e-06,-2.8e-06,'5.0%','-5.0%'
2.45,2.4,2.5,2.48e-05,2.23e-06,-2.23e-06,'5.0%','-5.0%'
2.55,2.5,2.6,2.07e-05,2.07e-06,-2.07e-06,'5.0%','-5.0%'
2.6500000000000004,2.6,2.7,1.74e-05,1.74e-06,-1.74e-06,'5.0%','-5.0%'
2.75,2.7,2.8,1.31e-05,1.44e-06,-1.44e-06,'5.0%','-5.0%'
2.8499999999999996,2.8,2.9,1.12e-05,1.34e-06,-1.34e-06,'5.0%','-5.0%'
2.95,2.9,3.0,1.06e-05,1.27e-06,-1.27e-06,'5.0%','-5.0%'
3.05,3.0,3.1,7.2e-06,9.36e-07,-9.36e-07,'5.0%','-5.0%'
3.1500000000000004,3.1,3.2,5.63e-06,7.88e-07,-7.88e-07,'5.0%','-5.0%'
3.25,3.2,3.3,5.64e-06,7.9e-07,-7.9e-07,'5.0%','-5.0%'
3.3499999999999996,3.3,3.4,5.43e-06,8.14e-07,-8.14e-07,'5.0%','-5.0%'
3.45,3.4,3.5,3.13e-06,5.63e-07,-5.63e-07,'5.0%','-5.0%'
3.55,3.5,3.6,3.27e-06,5.89e-07,-5.89e-07,'5.0%','-5.0%'
3.6500000000000004,3.6,3.7,2.86e-06,5.43e-07,-5.43e-07,'5.0%','-5.0%'
3.75,3.7,3.8,2.48e-06,4.96e-07,-4.96e-07,'5.0%','-5.0%'
3.8499999999999996,3.8,3.9,2.72e-06,4.9e-07,-4.9e-07,'5.0%','-5.0%'
3.95,3.9,4.0,1.62e-06,3.89e-07,-3.89e-07,'5.0%','-5.0%'
4.05,4.0,4.1,1.03e-06,3.19e-07,-3.19e-07,'5.0%','-5.0%'
4.15,4.1,4.2,1.29e-06,3.48e-07,-3.48e-07,'5.0%','-5.0%'
4.25,4.2,4.3,7.82e-07,2.5e-07,-2.5e-07,'5.0%','-5.0%'
4.35,4.3,4.4,6.91e-07,2.56e-07,-2.56e-07,'5.0%','-5.0%'
4.45,4.4,4.5,5.88e-07,2.18e-07,-2.18e-07,'5.0%','-5.0%'
4.6,4.5,4.7,3.56e-07,1.21e-07,-1.21e-07,'5.0%','-5.0%'
4.800000000000001,4.7,4.9,2.83e-07,1.1e-07,-1.1e-07,'5.0%','-5.0%'
5.0,4.9,5.1,2.62e-07,1.23e-07,-1.23e-07,'5.0%','-5.0%'
5.199999999999999,5.1,5.3,1.75e-07,8.05e-08,-8.05e-08,'5.0%','-5.0%'
5.4,5.3,5.5,1.6e-07,8.32e-08,-8.32e-08,'5.0%','-5.0%'
5.75,5.5,6.0,1.28e-08,4.74e-09,-4.74e-09,'5.0%','-5.0%'
6.25,6.0,6.5,3.2e-08,2.27e-08,-2.27e-08,'5.0%','-5.0%'

