#: table_doi: 10.17182/hepdata.59485.v1/t1
#: name: Table 1
#: description: The measured differential elastic cross section. Data from the  tabulation in CERN-PH-EP-2012-239.

#: data_file: Table1.yaml
#: keyword reactions: P P --> P P
#: keyword observables: DSIG/DT
#: keyword phrases: Elastic | Single Differential Cross Section | Proton-Proton Elastic Scattering | Proton-Proton Scattering | Proton-Proton Elastic Differential Cross Section
#: keyword cmenergies: 7000.0
#: RE,,,P P -->P P
#: SQRT(S) [GeV],,,7000.0
'ABS(T) [GEV**2]','ABS(T) [GEV**2] LOW','ABS(T) [GEV**2] HIGH','D(SIG)/DT [MB/GEV**2]','stat +','stat -','sys +','sys -'
0.377,0.374,0.381,0.2251,0.0056,-0.0056,0.0547,-0.0823
0.384,0.381,0.387,0.1744,0.0046,-0.0046,0.0428,-0.064
0.391,0.387,0.394,0.1571,0.0041,-0.0041,0.0388,-0.0579
0.398,0.394,0.401,0.1333,0.0035,-0.0035,0.0332,-0.0493
0.405,0.401,0.409,0.1161,0.0032,-0.0032,0.0292,-0.0431
0.412,0.409,0.416,0.09261,0.0026,-0.0026,0.02349,-0.03449
0.42,0.416,0.424,0.07812,0.0023,-0.0023,0.02,-0.02922
0.428,0.424,0.432,0.06324,0.00194,-0.00194,0.01634,-0.02375
0.436,0.432,0.44,0.0536,0.00171,-0.00171,0.01398,-0.02022
0.445,0.44,0.449,0.04467,0.00149,-0.00149,0.01177,-0.01693
0.454,0.449,0.459,0.03369,0.00122,-0.00122,0.00897,-0.01283
0.46399999999999997,0.459,0.469,0.03024,0.00116,-0.00116,0.00814,-0.01158
0.474,0.469,0.479,0.02553,0.001,-0.001,0.00695,-0.00983
0.485,0.479,0.49,0.02158,0.0009,-0.0009,0.00594,-0.00835
0.496,0.49,0.502,0.01945,0.00085,-0.00085,0.00542,-0.00757
0.508,0.502,0.514,0.01804,0.00081,-0.00081,0.00505,-0.00702
0.52,0.514,0.527,0.01708,0.00076,-0.00076,0.00478,-0.00663
0.533,0.527,0.54,0.01607,0.00076,-0.00076,0.00449,-0.00622
0.547,0.54,0.553,0.01686,0.0008,-0.0008,0.00471,-0.0065
