#: table_doi: 10.17182/hepdata.27800.v1/t2
#: name: Table 2
#: description: 380 K EVENTS.

#: data_file: Table2.yaml
#: keyword reactions: P P --> P P
#: keyword observables: DSIG/DT
#: keyword phrases: Elastic | Single Differential Cross Section | Proton-Proton Elastic Scattering | Proton-Proton Scattering | Proton-Proton Elastic Differential Cross Section
#: keyword cmenergies: 62.0
#: RE,,,P P --> P P
#: SQRT(S) [GeV],,,62.0,,
'-T [GEV**2]','-T [GEV**2] LOW','-T [GEV**2] HIGH','D(SIG)/DT [MB/GEV**2]','error +','error -'
0.21000000000000002,0.2,0.22,9.559,1.7,-1.7
0.22999999999999998,0.22,0.24,7.55,1.3,-1.3
0.25,0.24,0.26,5.437,0.89,-0.89
0.27,0.26,0.28,4.165,0.66,-0.66
0.29000000000000004,0.28,0.3,3.046,0.47,-0.47
0.31,0.3,0.32,2.452,0.37,-0.37
0.33,0.32,0.34,2.054,0.3,-0.3
0.35,0.34,0.36,1.729,0.25,-0.25
0.37,0.36,0.38,1.467,0.21,-0.21
0.39,0.38,0.4,1.196,0.17,-0.17
0.41000000000000003,0.4,0.42,1.01,0.14,-0.14
0.43,0.42,0.44,0.8296,0.12,-0.12
0.45,0.44,0.46,0.6319,0.087,-0.087
0.47,0.46,0.48,0.5331,0.073,-0.073
0.49,0.48,0.5,0.418,0.056,-0.056
0.525,0.5,0.55,0.2721,0.036,-0.036
0.575,0.55,0.6,0.1629,0.022,-0.022
0.625,0.6,0.65,0.08607,0.012,-0.012
0.675,0.65,0.7,0.05038,0.0072,-0.0072
0.725,0.7,0.75,0.02324,0.0035,-0.0035
0.775,0.75,0.8,0.0149,0.0025,-0.0025
0.8500000000000001,0.8,0.9,0.007742,0.0012,-0.0012
0.95,0.9,1.0,0.002075,0.00039,-0.00039
1.05,1.0,1.1,0.0005448,7.2e-05,-7.2e-05
1.15,1.1,1.2,9.262e-05,2e-05,-2e-05
1.25,1.2,1.3,2.702e-05,9.4e-06,-9.4e-06
1.35,1.3,1.4,5.046e-05,1.3e-05,-1.3e-05
1.45,1.4,1.5,3.462e-05,9.9e-06,-9.9e-06
1.55,1.5,1.6,6.103e-05,1.4e-05,-1.4e-05
1.65,1.6,1.7,6.555e-05,1.4e-05,-1.4e-05
1.75,1.7,1.8,7.026e-05,1.5e-05,-1.5e-05
1.85,1.8,1.9,9.147e-05,1.7e-05,-1.7e-05
1.95,1.9,2.0,6.014e-05,1.4e-05,-1.4e-05
2.1,2.0,2.2,5.932e-05,1e-05,-1e-05
2.3,2.2,2.4,3.593e-05,7e-06,-7e-06
2.5,2.4,2.6,2.586e-05,5.5e-06,-5.5e-06
2.7,2.6,2.8,1.801e-05,4e-06,-4e-06
2.9,2.8,3.0,7.185e-06,2.3e-06,-2.3e-06
3.1,3.0,3.2,9.892e-06,2.9e-06,-2.9e-06
3.3,3.2,3.4,3.849e-06,1.7e-06,-1.7e-06
3.5,3.4,3.6,3.216e-06,1.4e-06,-1.4e-06

